itemString,itemName,stackSize,quantity,price,otherPlayer,player,time,source
i:172368,Enchant Weapon - Sinful Revelation,1,1,10002000,Bluepingguo,Etlol,1612860643,Auction
i:172419,Enchant Boots - Eternal Agility,1,1,4800000,Tyreline,Etlol,1612860974,Auction
i:38682,Enchanting Vellum,1,1,1000,Merchant,Etlol,1612905005,Vendor
i:38682,Enchanting Vellum,1,1,800,Merchant,Etlol,1612909272,Vendor
i:21574,?,1,1,100,Merchant,Etlol,1613033372,Vendor
i:21576,?,1,1,100,Merchant,Etlol,1613033373,Vendor
i:21571,?,1,1,100,Merchant,Etlol,1613033374,Vendor
i:21557,?,1,3,25,Merchant,Etlol,1613033378,Vendor
i:21558,?,1,3,25,Merchant,Etlol,1613033379,Vendor
i:21747,?,1,1,300,Merchant,Etlol,1613033379,Vendor
i:21559,?,1,2,25,Merchant,Etlol,1613033380,Vendor
i:21721,?,1,1,15,Merchant,Etlol,1613033384,Vendor
i:20008,Living Action Potion,1,2,2400,Merchant,Etlol,1613034385,Vendor
i:18652,Schematic: Gyrofreeze Ice Reflector,1,1,12000,Merchant,Etlol,1613034417,Vendor
i:16046,Schematic: Masterwork Target Dummy,1,1,16000,Merchant,Etlol,1613034423,Vendor
i:18656,Schematic: Powerful Seaforium Charge,1,1,16000,Merchant,Etlol,1613034429,Vendor
i:90655,Reins of the Thundering Ruby Cloud Serpent,1,1,350000000,Vasity,Etlol,1613223047,Trade
i:183952,Machinist's Oil,1,3,90000,Merchant,Etlol,1613229210,Vendor
i:38682,Enchanting Vellum,30,30,1000,Merchant,Etlol,1613254330,Vendor
i:173168,Laestrite Setting,1,1,10000,Merchant,Etlol,1613254368,Vendor
i:116397,?,1,1,40000,Merchant,Etlol,1613326067,Vendor
i:172364,Enchant Ring - Tenet of Versatility,1,1,4401900,Demonhamster,Etlol,1613327706,Auction
i:21713,?,1,1,1000,Merchant,Etlol,1613397022,Vendor
i:21571,?,20,20,100,Merchant,Etlol,1613397170,Vendor
i:21576,?,20,20,100,Merchant,Etlol,1613397173,Vendor
i:21576,?,1,2,100,Merchant,Etlol,1613397174,Vendor
i:85215,Snakeroot Seed,16,16,10000,Merchant,Etlol,1613397970,Vendor
i:136377,Oversized Bobber,5,10,4400,Merchant,Etlol,1613400422,Vendor
i:171285,Shadowcore Oil,18,18,160500,Haizeal,Etlol,1613402510,Auction
i:171437,Shaded Sharpening Stone,12,12,190000,Saphirae,Etlol,1613402536,Auction
i:171370,Potion of Specter Swiftness,20,20,2745,Multiple Sellers,Etlol,1613402877,Auction
i:171352,Potion of Empowered Exorcisms,20,20,2749200,Yuky,Etlol,1613402905,Auction
i:171349,Potion of Phantom Fire,20,20,2070100,Multiple Sellers,Etlol,1613402956,Auction
i:171270,Potion of Spectral Agility,20,20,2839175,Multiple Sellers,Etlol,1613402978,Auction
i:21571,?,20,20,100,Merchant,Etlol,1613404290,Vendor
i:172321::2:1532:6758,Umbrahide Armguards,1,1,240008000,Ilinaa,Etlol,1613469142,Auction
i:173163,Missive of Versatility,1,1,5500000,Karpenko,Etlol,1613469671,Auction
i:173161,Missive of Critical Strike,1,1,3227500,Karpenko,Etlol,1613469686,Auction
i:90146,Tinker's Kit,1,2,20000,Merchant,Etlol,1613920101,Vendor
